number of bedrooms,living area,Price,Built Year,Distance from the airport
3,2340,1570000,1954,51
4,4930,1470000,2004,70
4,3100,1290000,1981,56
4,2970,829000,1973,71
3,1930,825000,1953,59
4,3780,782000,2001,63
5,3290,762500,2005,74
4,2770,748000,2001,62
6,2660,730000,1937,68
5,2570,675000,1987,78
3,2400,660000,1964,52
4,2020,633000,1990,56
3,1920,625000,1977,50
4,1880,530200,2010,59
3,940,520000,1903,58
3,1560,519000,1973,54
4,2990,514500,1976,58
4,3610,510000,1993,59
4,2230,500000,1962,72
3,2760,500000,1990,53
3,2090,489500,1977,68
3,1440,476000,2001,55
4,1910,475000,1956,74
4,2440,475000,2006,71
4,2420,440000,1962,53
3,1950,430000,2009,58
3,1600,408000,1960,60
2,800,350000,1949,77
4,2320,345000,1973,60
3,1600,332500,1950,60
3,1870,325000,2002,67
3,2300,325000,1970,80
4,1300,287000,1963,73
3,2160,273000,1991,63
3,2160,272000,1978,77
3,1330,263500,1981,73
3,970,262500,1980,63
3,1570,256000,1996,59
1,680,252000,1910,80
3,1510,247000,1990,76
3,1320,243000,1996,50
2,750,238000,1943,53
3,1520,230000,1968,63
2,870,166000,1944,52
3,1230,147500,1960,62
3,3470,2150000,1989,53
3,2600,1700000,1970,56
4,3920,1650000,2002,61
4,2890,1100000,2013,79
4,3720,960000,2014,55
5,4210,937500,2004,73
4,3090,855000,1978,59
4,3890,850000,2007,58
2,2130,830000,1963,51
5,2990,802541,2014,55
4,3020,780000,1976,75
2,1360,755000,1999,74
3,2950,739000,2003,59
4,2660,729000,2003,72
4,2000,725000,1950,69
4,2840,713000,1984,79
5,3540,707000,1926,59
4,2770,652427,1979,73
2,920,600000,1938,71
4,3870,600000,2007,54
3,1370,593500,1918,72
4,1490,570000,1918,52
3,1950,550000,1965,60
3,1700,500000,1952,59
4,2110,490000,1978,68
3,920,490000,1926,61
3,1680,485000,1988,52
3,1690,482500,2005,53
4,1930,469500,1980,58
3,1830,467500,1956,64
4,2320,445000,1968,69
4,2200,423000,1962,52
7,2940,420000,1977,66
4,1870,419950,1969,63
3,1050,400000,1952,71
6,3060,400000,1967,61
2,1370,385000,1960,53
3,1340,383000,1967,55
3,1520,362500,1954,59
3,1890,344500,1976,55
4,3504,330000,2006,53
4,1180,330000,1965,70
3,1260,325000,1972,68
4,1730,317500,1963,66
3,1060,317000,1981,64
4,2460,313000,1993,70
3,1170,312500,1960,69
3,2370,300523,1987,55
4,1981,299999,2013,75
4,1810,299950,1986,54
3,1620,276750,1989,70
4,1600,270000,2009,78
3,2244,269950,2012,64
4,2140,245000,1963,73
3,1660,241000,1976,68
3,1060,212000,1986,77
3,970,165000,1967,52
3,840,135000,1943,54
2,960,99000,1948,69
5,3090,1630000,1964,72
3,3170,1090000,1957,79
9,3680,700000,1908,75
3,1740,665000,1974,78
4,3120,653000,2003,57
4,2220,652600,2014,58
4,2400,608000,1956,64
6,1730,563000,1918,50
3,2920,555000,1908,72
3,1550,537000,1957,73
5,2670,480000,2013,63
3,1250,463000,1955,72
3,1480,459000,2014,66
2,700,430000,1922,73
3,1250,405000,1975,52
3,1230,392000,1952,72
2,962,390000,2012,53
4,2020,375000,1966,51
2,1390,365000,1946,77
3,1250,344000,2007,55
3,1810,342500,1993,61
3,1740,340000,1959,74
3,1120,335000,1977,60
4,2260,325000,2002,61
2,620,325000,1926,69
3,1230,320000,1955,50
3,890,315000,1957,67
3,1030,299950,1972,53
4,1990,283500,1999,55
4,1170,282500,1942,69
4,2520,272000,1979,57
6,2000,265000,1960,51
3,1360,248500,1988,61
3,1440,245000,1985,80
3,1550,240000,1962,78
3,1350,237500,1986,79
2,1130,216000,1953,67
3,1280,215000,1964,73
3,1240,214000,1970,74
3,1230,200000,1947,54
3,1280,190000,1961,54
4,1310,154200,1948,62
5,4850,3570000,2007,55
4,3730,1780000,1985,76
3,2100,1150000,1953,79
3,2140,998500,1905,52
3,2190,988000,1923,76
